Palabras,Probabilidad Error,Dificultad
playa,0.1428510084133339,FACIL
nube,0.17645785487038274,INTERMEDIA
ratón,0.15328626512269947,INTERMEDIA
gatos,0.15262603670794642,INTERMEDIA
hierba,0.16248854146013142,INTERMEDIA
brazo,0.12771095734265403,FACIL
cuerda,0.12850506769275466,FACIL
radio,0.10302362595610987,FACIL
letra,0.09022685403640655,FACIL
plaza,0.05917132821646936,FACIL
bolsa,0.05442679886844243,FACIL
tres,0.3105783297786668,DIFICIL
bar,0.24850250623984352,DIFICIL
dos,0.23546088040010846,DIFICIL
fin,0.2363500464348721,DIFICIL
luz,0.24887352137686689,DIFICIL
mar,0.226785898856982,DIFICIL
mes,0.21472209068230366,DIFICIL
pan,0.22156841817880552,DIFICIL
paz,0.2127055372381552,DIFICIL
sol,0.20278797245219912,INTERMEDIA
sur,0.18921962784528595,INTERMEDIA
rey,0.23320431139841022,DIFICIL
vida,0.2322622115253827,DIFICIL
casa,0.21715962704415034,DIFICIL
ojos,0.2061078963502122,INTERMEDIA
días,0.22597980593106165,DIFICIL
mano,0.1845191747904274,INTERMEDIA
agua,0.2024832179414398,INTERMEDIA
amor,0.24530446953978433,DIFICIL
hijo,0.19879250106110272,INTERMEDIA
cara,0.21471045537007694,DIFICIL
niño,0.15360499704914268,INTERMEDIA
mesa,0.1451140653032415,FACIL
vijos,0.25282063294723306,DIFICIL
ovi,0.20189897912585475,INTERMEDIA
ome,0.23041309372326926,DIFICIL
disa,0.23804258891594668,DIFICIL
mada,0.19509247590854067,INTERMEDIA
nigua,0.20427478710657881,INTERMEDIA
adad,0.17945235984121305,INTERMEDIA
najo,0.21392688129984222,DIFICIL
asca,0.19423887054537173,INTERMEDIA
naño,0.18510019744951947,INTERMEDIA
hisa,0.14768183696242726,FACIL
edad,0.11128386541974492,FACIL
emor,0.15842679845744398,INTERMEDIA
tros,0.0908064864864865,FACIL
bur,0.1915158357308472,INTERMEDIA
des,0.17857853872187937,INTERMEDIA
fon,0.15532994090273683,INTERMEDIA
laz,0.16173631477337083,INTERMEDIA
mer,0.15187229757492277,INTERMEDIA
mos,0.16607031770472563,INTERMEDIA
pun,0.07018250906787955,FACIL
poz,0.07985030984780354,FACIL
sel,0.09668177488668835,FACIL
sar,0.06083823146587749,FACIL
plada,0.19396489984045384,INTERMEDIA
nuya,0.21757377421576068,DIFICIL
razo,0.21042225975904114,INTERMEDIA
gadio,0.16605286866496533,INTERMEDIA
hiertra,0.1823207882395314,INTERMEDIA
bratos,0.15105205753280054,INTERMEDIA
cuersa,0.17321016166281758,INTERMEDIA
rabe,0.13290601260578327,FACIL
lella,0.13383730491225632,FACIL
plaba,0.10784266075000062,FACIL
boltón,0.07392327907689653,FACIL
dra,0.12459054557854804,FACIL
dren,0.16719731555693607,INTERMEDIA
dri,0.1924043557200241,INTERMEDIA
drol,0.1903637282678413,INTERMEDIA
dru,0.14069478362264318,FACIL
bran,0.1548632810771097,INTERMEDIA
brel,0.13242032068277215,FACIL
bri,0.15389571666518154,INTERMEDIA
blo,0.17136841538199085,INTERMEDIA
bru,0.12851424398671335,FACIL
trans,0.09704469975209457,FACIL
tre,0.07407106144796978,FACIL
tri,0.06981110870500776,FACIL
tru,0.08303679385999664,FACIL
pla,0.07900481888136258,FACIL
pre,0.06323408781560705,FACIL
prin,0.0781786196874283,FACIL
pros,0.008966100592100984,FACIL
plu,,DIFICIL
fra,0.024059768245578372,FACIL
frel,0.04822973553414739,FACIL
autobús,0.1461189076349759,FACIL
espalda,0.1635205654464904,INTERMEDIA
muchacho,0.1188222737377377,FACIL
pájaro,0.1201279373631585,FACIL
iglesia,0.08879553187078522,FACIL
maestro,0.12306164143558798,FACIL
capitán,0.029839096199931532,FACIL
fantasma,0.03215736971626583,FACIL
palacio,0.07073925615631636,FACIL
transporte,0.04326281641747579,FACIL
madera,0.03954611110388175,FACIL
aujatro,0.1507520446506366,INTERMEDIA
estocho,0.18454603977829664,INTERMEDIA
muglera,0.17723887841435157,INTERMEDIA
pacharo,0.15764792489799911,INTERMEDIA
itascio,0.15165048382289553,INTERMEDIA
maporte,0.14346340422792467,FACIL
caesbús,0.10472220669692626,FACIL
fandema,0.14593474883480062,FACIL
patrella,0.10914959359193876,FACIL
translasia,0.07877832877601147,FACIL
mapida,0.14414886500468269,FACIL
fri,,DIFICIL
